Site,Season,Type,LS Age,Transect,Replicate,Total_Nekton,Total_Mumm,"Mumm
Females","Mumm
Males",Mumm Juveniles,Mumm_F_Length,Mumm_M_Length,Mumm_Juv_Length,Mumm_Avg_Length,Mumm_Adult_Length,Notes on Modified Data
Cutts Cove,2021,Living Shoreline,3,Low,12,0,0,0,0,0,,,,,,
Cutts Cove,2021,Living Shoreline,3,Low,13,14,14,8,5,1,54.1,58,39,50.4,56.1,
Cutts Cove,2021,Living Shoreline,3,Low,14,15,15,7,4,4,51.4,59,43,51.1,55.2,
Cutts Cove,2021,Living Shoreline,3,Low,15,5,5,3,0,2,56.3,,44,50.2,56.3,
Cutts Cove,2021,Living Shoreline,3,Low,16,7,7,1,4,2,62,63.5,42,55.8,62.8,
Cutts Cove,2021,Living Shoreline,3,Low,17,26,26,10,10,5,55,57,41,50.9,55.9,
Cutts Cove,2021,Living Shoreline,3,Low,18,25,25,10,7,2,51.5,63.6,42,52.4,57.5,
Cutts Cove,2021,Living Shoreline,3,Low,19,34,34,10,9,10,52.9,59.8,42.9,51.9,56.3,
Cutts Cove,2021,Living Shoreline,3,Low,20,116,116,10,10,10,59.1,59.3,42.1,53.5,59.2,
Cutts Cove,2021,Reference,,Low,1,43,42,10,10,10,50.3,51.4,41.5,47.7,50.9,
Cutts Cove,2021,Reference,,Low,2,1,1,0,1,0,,70,,70,70,
Cutts Cove,2021,Reference,,Low,3,3,3,1,1,1,46,49,44,46.3,47.5,
Cutts Cove,2021,Reference,,Low,4,35,35,10,6,10,56,52.7,41.1,49.9,54.3,
Cutts Cove,2021,Reference,,Low,5,25,25,9,10,1,50.9,63.2,43,52.4,57,
Cutts Cove,2021,Reference,,Low,6,4,4,2,2,0,50,69.5,,59.8,59.8,
Cutts Cove,2021,Reference,,Low,7,20,20,8,5,7,61.9,50.4,41.3,51.2,56.1,
Cutts Cove,2021,Reference,,Low,8,2,2,0,1,1,,53,44,48.5,53,
Cutts Cove,2021,Reference,,Low,9,0,0,0,0,0,,,,,,
Cutts Cove,2021,Reference,,Low,10,79,79,10,10,10,53.8,50.5,41.5,48.6,52.2,
Cutts Cove,2021,Reference,,Low,11,5,5,0,3,2,,46.3,39,42.7,46.3,
Cutts Cove,2021,Reference,,Low,12,42,42,10,6,10,52.6,50.7,40.2,47.8,51.6,
Cutts Cove,2021,Reference,,Low,13,5,5,1,1,3,55,50,40.7,48.6,52.5,
Cutts Cove,2021,Reference,,Low,14,107,107,10,10,10,52.2,51.7,41,48.3,52,
Cutts Cove,2021,Reference,,Low,15,3,3,1,2,0,54,47.5,,50.8,50.8,
Cutts Cove,2021,Reference,,Low,16,0,0,0,0,0,,,,,,
Cutts Cove,2021,Reference,,Low,17,13,13,3,5,5,52.7,57.8,40,50.2,55.2,
Cutts Cove,2021,Reference,,Low,18,57,57,10,9,10,51.5,52.2,42.2,48.6,51.9,
Cutts Cove,2021,Reference,,Low,19,28,28,10,5,9,48.2,56.4,41.7,48.8,52.3,
Cutts Cove,2021,No Action Control,,Low,1,1,0,0,0,0,,,,,,
Cutts Cove,2021,No Action Control,,Low,2,15,15,8,4,3,50.4,53.5,42,48.6,51.9,
Cutts Cove,2021,No Action Control,,Low,3,0,0,0,0,0,,,,,,
Cutts Cove,2021,No Action Control,,Low,4,0,0,0,0,0,,,,,,
Cutts Cove,2021,No Action Control,,Low,5,0,0,0,0,0,,,,,,
Cutts Cove,2021,No Action Control,,Low,6,0,0,0,0,0,,,,,,
Cutts Cove,2021,No Action Control,,Low,7,10,10,5,2,3,46.2,47.5,41.7,45.1,46.9,
Cutts Cove,2021,No Action Control,,Low,8,77,77,10,10,10,51.2,55.1,42.2,49.5,53.2,
Cutts Cove,2021,No Action Control,,Low,9,0,0,0,0,0,,,,,,
Cutts Cove,2021,No Action Control,,Low,10,27,27,9,8,10,56.7,53.5,42.1,50.8,55.1,
Cutts Cove,2021,No Action Control,,Low,11,0,0,0,0,0,,,,,,
Cutts Cove,2021,No Action Control,,Low,12,13,12,6,6,0,58.2,59.8,,59,59,
Cutts Cove,2021,No Action Control,,Low,13,11,11,7,4,0,56.3,53,,54.6,54.6,
Cutts Cove,2021,No Action Control,,Low,14,42,42,10,10,6,54,57.6,41.7,51.1,55.8,
North Mill Pond,2020,Living Shoreline,4,Low,1,2,2,2,0,0,50.5,,,50.5,50.5,
North Mill Pond,2020,Living Shoreline,4,Low,2,5,5,3,2,0,58,52.5,,55.8,55.8,
North Mill Pond,2020,Living Shoreline,4,Low,3,17,17,8,7,2,53.1,52.9,42,51.7,53,
North Mill Pond,2020,Living Shoreline,4,Low,4,2,2,0,2,0,,50.5,,50.5,50.5,
North Mill Pond,2020,Living Shoreline,4,Low,5,17,17,3,6,8,80,52.8,42.8,52.9,61.9,
North Mill Pond,2020,Living Shoreline,4,Low,6,13,13,8,2,3,55.4,48.5,42,51.2,54,
North Mill Pond,2020,Living Shoreline,4,Low,7,39,39,10,10,6,55.6,55,42.3,52.3,55.3,
North Mill Pond,2020,Living Shoreline,4,Low,8,6,6,2,3,1,48.5,60,44,53.5,55.4,
North Mill Pond,2020,Living Shoreline,4,Low,9,2,2,0,0,2,,,43.5,43.5,,
North Mill Pond,2020,Living Shoreline,4,Low,10,0,0,0,0,0,,,,,,
North Mill Pond,2020,Reference,,Low,1,16,16,10,1,5,51,50,41,47.8,50.9,
North Mill Pond,2020,Reference,,Low,2,20,20,8,8,6,54.4,49.4,40.5,48.8,51.9,
North Mill Pond,2020,Reference,,Low,3,4,4,1,2,1,55,52.5,41,50.3,53.3,
North Mill Pond,2020,Reference,,Low,4,5,5,4,1,0,57.8,56,,57.4,57.4,
North Mill Pond,2020,Reference,,Low,5,13,13,10,1,2,54.8,53,42.5,52.8,54.6,
North Mill Pond,2020,Reference,,Low,6,4,4,2,1,1,63.5,47,43,54.3,58,
North Mill Pond,2020,Reference,,Low,7,8,8,3,1,4,49.3,46,42.3,45.4,48.5,
North Mill Pond,2020,Reference,,Low,8,72,72,10,10,10,70.7,62.7,42.1,58.5,66.7,
North Mill Pond,2020,Reference,,Low,9,169,169,10,10,10,65.2,62.5,41.9,56.5,63.9,
North Mill Pond,2020,Reference,,Low,10,0,0,0,0,0,,,,,45,"Length manually included as ""45"" which is the minimum length of mummichog adults"
North Mill Pond,2020,No Action Control,,Low,1,1,0,0,0,0,,,,,45,"Length manually included as ""45"" which is the minimum length of mummichog adults"
North Mill Pond,2020,No Action Control,,Low,2,1,0,0,0,0,,,,,45,"Length manually included as ""45"" which is the minimum length of mummichog adults"
North Mill Pond,2020,No Action Control,,Low,3,0,0,0,0,0,,,,,45,"Length manually included as ""45"" which is the minimum length of mummichog adults"
North Mill Pond,2020,No Action Control,,Low,4,0,0,0,0,0,,,,,45,"Length manually included as ""45"" which is the minimum length of mummichog adults"
North Mill Pond,2020,No Action Control,,Low,5,0,0,0,0,0,,,,,45,"Length manually included as ""45"" which is the minimum length of mummichog adults"
North Mill Pond,2020,No Action Control,,Low,6,0,0,0,0,0,,,,,45,"Length manually included as ""45"" which is the minimum length of mummichog adults"
North Mill Pond,2020,No Action Control,,Low,7,0,0,0,0,0,,,,,45,"Length manually included as ""45"" which is the minimum length of mummichog adults"
North Mill Pond,2020,No Action Control,,Low,8,0,0,0,0,0,,,,,45,"Length manually included as ""45"" which is the minimum length of mummichog adults"
North Mill Pond,2020,No Action Control,,Low,9,0,0,0,0,0,,,,,45,"Length manually included as ""45"" which is the minimum length of mummichog adults"
North Mill Pond,2020,No Action Control,,Low,10,0,0,0,0,0,,,,,45,"Length manually included as ""45"" which is the minimum length of mummichog adults"
Wagon Hill Farm,2020,Living Shoreline,1,Low,1,1,1,0,1,0,,53,,53,53,
Wagon Hill Farm,2020,Living Shoreline,1,Low,2,60,60,10,10,10,68.2,59,39.7,55.6,63.6,
Wagon Hill Farm,2020,Living Shoreline,1,Low,3,142,142,10,10,10,67.2,60.3,40.9,56.1,63.8,
Wagon Hill Farm,2020,Living Shoreline,1,Low,4,12,12,6,2,4,59.8,54.5,42.5,53.2,58.5,
Wagon Hill Farm,2020,Living Shoreline,1,Low,5,3,0,0,0,0,,,,,,
Wagon Hill Farm,2020,Living Shoreline,1,Low,6,3,3,3,0,0,52,,,52,52,
Wagon Hill Farm,2020,Living Shoreline,1,Low,7,1,1,1,0,0,48,,,48,48,
Wagon Hill Farm,2020,Living Shoreline,1,Low,8,25,25,9,10,5,65.7,57.7,41.2,57.3,61.5,
Wagon Hill Farm,2020,Living Shoreline,1,Low,9,13,13,8,3,2,73.5,58.7,41,65.1,69.5,
Wagon Hill Farm,2020,Living Shoreline,1,Low,10,119,119,10,10,10,63.3,55.2,41.5,53.3,59.3,
Wagon Hill Farm,2020,Living Shoreline,1,High,1,7,7,3,0,4,52.7,,36.3,43.3,52.7,
Wagon Hill Farm,2020,Living Shoreline,1,High,2,38,37,10,10,10,56.7,55.3,42.2,51.4,56,
Wagon Hill Farm,2020,Living Shoreline,1,High,3,41,41,10,9,10,67.2,57.7,38.9,54.5,62.7,
Wagon Hill Farm,2020,Living Shoreline,1,High,4,199,199,10,10,10,64,61.4,39.8,55.1,62.7,
Wagon Hill Farm,2020,Living Shoreline,1,High,5,1,1,0,0,1,,,39,39,,
Wagon Hill Farm,2020,Living Shoreline,1,High,6,6,6,1,1,4,55,57,41.8,46.5,56,
Wagon Hill Farm,2020,Living Shoreline,1,High,7,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,Living Shoreline,1,High,8,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,Living Shoreline,1,High,9,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,Living Shoreline,1,High,10,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,Reference,,Low,1,13,13,3,3,7,45.3,50.3,40.1,43.7,47.8,
Wagon Hill Farm,2020,Reference,,Low,2,6,6,3,3,0,56.3,57.7,,57,57,
Wagon Hill Farm,2020,Reference,,Low,3,2,2,0,1,1,,80,41,60.5,80,
Wagon Hill Farm,2020,Reference,,Low,4,1,1,0,1,0,,65,,65,65,
Wagon Hill Farm,2020,Reference,,Low,5,2,2,1,1,0,58,58,,58,58,
Wagon Hill Farm,2020,Reference,,Low,6,1,1,0,1,0,,50,,50,50,
Wagon Hill Farm,2020,Reference,,Low,7,1,1,0,0,1,,,38,38,,
Wagon Hill Farm,2020,Reference,,Low,8,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,Reference,,Low,9,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,Reference,,Low,10,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,Reference,,High,1,3,3,1,2,0,66,54.5,,58.3,58.3,
Wagon Hill Farm,2020,Reference,,High,2,1,1,0,1,0,,57,,57,57,
Wagon Hill Farm,2020,Reference,,High,3,12,12,1,5,6,70,57,37.3,48.3,59.2,
Wagon Hill Farm,2020,Reference,,High,4,3,3,1,0,2,65,,36.5,46,65,
Wagon Hill Farm,2020,Reference,,High,5,2,2,1,1,0,66,45,,55.5,55.5,
Wagon Hill Farm,2020,Reference,,High,6,2,2,0,0,2,,,40,40,,
Wagon Hill Farm,2020,Reference,,High,7,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,Reference,,High,8,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,Reference,,High,9,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,Reference,,High,10,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,No Action Control,,High,1,2,2,1,0,1,56,,38,47,56,
Wagon Hill Farm,2020,No Action Control,,High,2,6,6,1,1,4,48,51,36.5,40.8,49.5,
Wagon Hill Farm,2020,No Action Control,,High,3,3,3,0,1,2,,64,37.5,46.3,64,
Wagon Hill Farm,2020,No Action Control,,High,4,1,1,0,0,1,,,41,41,,
Wagon Hill Farm,2020,No Action Control,,High,5,2,2,1,0,1,45,,40,42.5,45,
Wagon Hill Farm,2020,No Action Control,,High,6,2,2,0,1,1,,60,40,50,60,
Wagon Hill Farm,2020,No Action Control,,High,7,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,No Action Control,,High,8,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,No Action Control,,High,9,0,0,0,0,0,,,,,,
Wagon Hill Farm,2020,No Action Control,,High,10,0,0,0,0,0,,,,,,
Wagon Hill Farm,2021,Living Shoreline,2,Low,1,31,30,10,10,5,64.5,60.6,40.4,55.2,62.6,
Wagon Hill Farm,2021,Living Shoreline,2,Low,2,16,16,9,6,1,62.6,57.8,42,54.1,60.2,
Wagon Hill Farm,2021,Living Shoreline,2,Low,3,13,13,8,3,2,69.8,55.3,42,55.7,62.5,
Wagon Hill Farm,2021,Living Shoreline,2,Low,4,1,1,0,0,1,,,38,38,,
Wagon Hill Farm,2021,Living Shoreline,2,Low,5,8,7,5,1,1,69.8,51,41,53.9,60.4,
Wagon Hill Farm,2021,Living Shoreline,2,Low,6,11,11,5,2,4,73.4,65.5,39.5,59.5,69.5,
Wagon Hill Farm,2021,Living Shoreline,2,Low,7,0,0,0,0,0,,,,,,
Wagon Hill Farm,2021,Living Shoreline,2,Low,8,0,0,0,0,0,,,,,,
Wagon Hill Farm,2021,Living Shoreline,2,Low,9,9,8,5,1,2,74.8,50,42,55.6,62.4,
Wagon Hill Farm,2021,Living Shoreline,2,Low,10,37,37,10,10,4,63.9,58.7,40,54.2,61.3,
Wagon Hill Farm,2021,Living Shoreline,2,Low,11,12,12,6,4,2,66.5,61.5,40,56,64,
Wagon Hill Farm,2021,Living Shoreline,2,Low,12,1,1,0,0,1,,,38,38,,
Wagon Hill Farm,2021,Living Shoreline,2,Low,13,2,2,1,0,1,64,,40,52,64,
Wagon Hill Farm,2021,Living Shoreline,2,Low,14,1,1,0,0,1,,,43,43,,
Wagon Hill Farm,2021,Living Shoreline,2,Low,15,9,9,2,1,6,53,51,39.5,47.8,52,
Wagon Hill Farm,2021,Living Shoreline,2,Low,16,29,27,10,10,6,67.5,64.3,38.7,56.8,65.9,
Wagon Hill Farm,2021,Living Shoreline,2,Low,17,0,0,0,0,0,,,,,,
Wagon Hill Farm,2021,Living Shoreline,2,Low,18,41,41,10,10,5,77.7,58,38.6,58.1,67.9,
Wagon Hill Farm,2021,Living Shoreline,2,Low,19,45,43,10,10,3,69.8,56.6,40.3,55.6,63.2,
Wagon Hill Farm,2021,Living Shoreline,2,Low,20,0,0,0,0,0,,,,,,
Wagon Hill Farm,2021,Reference,,Low,1,79,79,9,10,10,57.3,61,39.8,52.7,59.2,
Wagon Hill Farm,2021,Reference,,Low,2,2,2,1,1,0,45,47,,46,46,
Wagon Hill Farm,2021,Reference,,Low,3,109,108,10,10,10,59.3,60.2,41.8,53.8,59.8,
Wagon Hill Farm,2021,Reference,,Low,4,56,55,10,10,10,62,54.5,39.3,51.9,58.3,
Wagon Hill Farm,2021,Reference,,Low,5,100,95,10,10,10,56.2,66.6,39.9,54.2,61.4,
Wagon Hill Farm,2021,Reference,,Low,6,27,25,6,10,8,56,53,35.5,48.2,54.5,
Wagon Hill Farm,2021,Reference,,Low,7,52,50,10,10,10,64.5,59.1,40.3,54.6,61.8,
Wagon Hill Farm,2021,Reference,,Low,8,45,45,10,10,10,62.6,58,41.4,54,60.3,
Wagon Hill Farm,2021,Reference,,Low,9,124,105,10,10,10,64.7,64.6,41.7,57,64.7,
Wagon Hill Farm,2021,Reference,,Low,10,29,28,10,7,2,66.3,61.9,41,56.4,64.1,
Wagon Hill Farm,2021,Reference,,Low,11,97,94,10,10,10,54.5,56.6,41.8,51,55.6,
Wagon Hill Farm,2021,Reference,,Low,12,8,8,3,5,,53.3,62.2,,57.8,57.8,
Wagon Hill Farm,2021,Reference,,Low,13,43,43,10,10,10,59.2,60.7,39.7,53.2,60,
Wagon Hill Farm,2021,Reference,,Low,14,10,10,2,0,8,48.5,,39.9,44.2,48.5,
Wagon Hill Farm,2021,Reference,,Low,15,16,15,4,4,7,57.3,56.5,38.1,50.6,56.9,
Wagon Hill Farm,2021,Reference,,Low,16,135,130,10,10,10,56.7,55.2,40.4,50.8,56,
Wagon Hill Farm,2021,Reference,,Low,17,20,20,5,8,7,60.2,56.6,42.1,53,58.4,
Wagon Hill Farm,2021,Reference,,Low,18,29,29,10,4,20,54.7,50.8,41.7,49.1,52.7,
Wagon Hill Farm,2021,Reference,,Low,19,185,165,10,10,10,60.2,57.2,39.4,52.3,58.7,
Wagon Hill Farm,2021,Reference,,Low,20,86,78,10,10,5,63.7,55.9,41.6,53.7,59.8,
Wagon Hill Farm,2022,Living Shoreline,3,Low,1,13,13,7,6,0,57.7,75.5,,66.6,66.6,
Wagon Hill Farm,2022,Living Shoreline,3,Low,2,0,0,0,0,0,3.1,,,,,
Wagon Hill Farm,2022,Living Shoreline,3,Low,3,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,Living Shoreline,3,Low,4,16,16,7,5,4,58.1,56.4,41.5,52,57.3,
Wagon Hill Farm,2022,Living Shoreline,3,Low,5,1,1,0,1,0,,70,,70,70,
Wagon Hill Farm,2022,Living Shoreline,3,Low,6,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,Living Shoreline,3,Low,7,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,Living Shoreline,3,Low,8,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,Living Shoreline,3,Low,9,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,Living Shoreline,3,Low,10,1,1,1,0,0,90,,,90,90,
Wagon Hill Farm,2022,Living Shoreline,3,High,1,18,18,10,1,7,47.2,43,40.6,43.6,45.1,
Wagon Hill Farm,2022,Living Shoreline,3,High,2,46,45,19,10,15,57.9,58.3,38.9,51.7,58.1,
Wagon Hill Farm,2022,Living Shoreline,3,High,3,6,6,2,0,4,45,,38,41.5,45,
Wagon Hill Farm,2022,Living Shoreline,3,High,4,54,54,27,10,17,48,45.8,40.2,44.7,46.9,
Wagon Hill Farm,2022,Living Shoreline,3,High,5,86,86,50,10,10,54,48.4,41.4,47.9,51.2,
Wagon Hill Farm,2022,Living Shoreline,3,High,6,17,16,10,4,1,56.9,62.8,42,53.9,59.8,
Wagon Hill Farm,2022,Living Shoreline,3,High,7,11,11,3,3,5,45.3,56.3,38.6,46.8,50.8,
Wagon Hill Farm,2022,Living Shoreline,3,High,8,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,Living Shoreline,3,High,9,4,4,0,0,4,,,39.8,39.8,,
Wagon Hill Farm,2022,Living Shoreline,3,High,10,4,4,2,1,1,51,50,40,47,50.5,
Wagon Hill Farm,2022,Reference,,Low,1,4,4,1,1,2,45,50,42,45.7,47.5,
Wagon Hill Farm,2022,Reference,,Low,2,3,3,0,1,2,,43,39.5,41.3,43,
Wagon Hill Farm,2022,Reference,,Low,3,3,3,2,0,1,44.5,,41,42.8,44.5,
Wagon Hill Farm,2022,Reference,,Low,4,5,5,3,1,1,48.7,45,37,43.6,46.8,
Wagon Hill Farm,2022,Reference,,Low,5,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,Reference,,Low,6,1,1,0,0,1,,,41,41,,
Wagon Hill Farm,2022,Reference,,Low,7,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,Reference,,Low,8,3,3,0,1,2,,62,42,52,62,
Wagon Hill Farm,2022,Reference,,Low,9,95,95,57,30,8,68.8,59.6,36.6,55,64.2,
Wagon Hill Farm,2022,Reference,,Low,10,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,Reference,,High,1,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,Reference,,High,2,1,1,0,1,0,,50,,50,50,
Wagon Hill Farm,2022,Reference,,High,3,2,2,0,2,0,,52.5,,52.5,52.5,
Wagon Hill Farm,2022,Reference,,High,4,1,1,0,1,0,,49,,49,49,
Wagon Hill Farm,2022,Reference,,High,5,40,40,24,16,0,70.5,54,,62.3,62.3,
Wagon Hill Farm,2022,Reference,,High,6,2,2,1,1,0,44,45,,44.5,44.5,
Wagon Hill Farm,2022,Reference,,High,7,3,3,2,1,0,62,43,,52.5,52.5,
Wagon Hill Farm,2022,Reference,,High,8,1,1,0,1,0,,52,,52,52,
Wagon Hill Farm,2022,Reference,,High,9,1,1,0,1,0,,48,,48,48,
Wagon Hill Farm,2022,Reference,,High,10,1,1,1,0,0,66,,,66,66,
Wagon Hill Farm,2022,No Action Control,,High,1,0,,,,,,,,,,
Wagon Hill Farm,2022,No Action Control,,High,2,0,,,,,,,,,,
Wagon Hill Farm,2022,No Action Control,,High,3,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,No Action Control,,High,4,1,1,1,0,0,45,,,45,45,
Wagon Hill Farm,2022,No Action Control,,High,5,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,No Action Control,,High,6,0,0,0,0,0,,,,,,
Wagon Hill Farm,2022,No Action Control,,High,7,1,1,0,0,1,,,42,42,,
Wagon Hill Farm,2022,No Action Control,,High,8,2,2,1,0,1,47,,42,44.5,47,
Wagon Hill Farm,2022,No Action Control,,High,9,3,3,3,0,0,47.7,,,47.7,47.7,
Wagon Hill Farm,2022,No Action Control,,High,10,0,0,0,0,0,,,,,,
