Site,Season,Date,Type,LS_Age,Plot,Plot_ID,AlgaeCover,InvertDensity,SnailDensity,BarnacleDensity,NonFFDensity,FFDensity
Wagon Hill Farm,2021,9/1/2021,Living Shoreline,2,1,WHFS1,41,18,8,10,8,10
Wagon Hill Farm,2021,9/1/2021,Living Shoreline,2,2,WHFS2,27,6,6,0,6,0
Wagon Hill Farm,2021,9/1/2021,Living Shoreline,2,3,WHFS3,75,10,6,0,6,0
Wagon Hill Farm,2021,9/1/2021,Living Shoreline,2,4,WHFS4,21,40,40,0,40,0
Wagon Hill Farm,2021,9/1/2021,Living Shoreline,2,5,WHFS5,46,22,12,10,12,10
Wagon Hill Farm,2021,9/1/2021,Living Shoreline,2,6,WHFS6,65,56,40,16,40,16
Wagon Hill Farm,2021,9/1/2021,Living Shoreline,2,7,WHFS7,45,12,10,0,10,0
Wagon Hill Farm,2021,9/1/2021,Living Shoreline,2,8,WHFS8,55,32,32,0,32,0
Wagon Hill Farm,2021,9/1/2021,Living Shoreline,2,9,WHFS9,40,42,24,18,24,18
Wagon Hill Farm,2021,9/1/2021,Living Shoreline,2,10,WHFS10,35,12,6,6,6,6
Cutts Cove,2022,10/20/2022,Living Shoreline,4,1,CCS1,80,92,76,16,76,16
Cutts Cove,2022,10/20/2022,Living Shoreline,4,2,CCS2,90,100,62,38,62,38
Cutts Cove,2022,10/20/2022,Living Shoreline,4,3,CCS3,80,82,70,12,70,12
Cutts Cove,2022,10/20/2022,Living Shoreline,4,4,CCS4,92,152,52,100,52,100
Cutts Cove,2022,10/20/2022,Living Shoreline,4,5,CCS5,77,204,104,88,106,88
Cutts Cove,2022,10/20/2022,Living Shoreline,4,6,CCS6,60,204,80,122,82,122
Cutts Cove,2022,10/20/2022,Living Shoreline,4,7,CCS7,80,144,48,92,52,92
Cutts Cove,2022,10/20/2022,Living Shoreline,4,8,CCS8,65,146,84,58,88,58
Cutts Cove,2022,10/20/2022,Living Shoreline,4,9,CCS9,76,106,80,24,82,24
Cutts Cove,2022,10/20/2022,Living Shoreline,4,10,CCS10,70,76,54,20,56,20
Wagon Hill Farm,2022,1/4/2023,Living Shoreline,3,1,WHFS1,55,,,,,
Wagon Hill Farm,2022,1/4/2023,Living Shoreline,3,2,WHFS2,60,,,,,
Wagon Hill Farm,2022,1/4/2023,Living Shoreline,3,3,WHFS3,75,,,,,
Wagon Hill Farm,2022,1/4/2023,Living Shoreline,3,4,WHFS4,35,,,,,
Wagon Hill Farm,2022,1/4/2023,Living Shoreline,3,5,WHFS5,75,,,,,
Wagon Hill Farm,2022,1/4/2023,Living Shoreline,3,6,WHFS6,80,,,,,
Wagon Hill Farm,2022,1/4/2023,Living Shoreline,3,7,WHFS7,50,,,,,
Wagon Hill Farm,2022,1/4/2023,Living Shoreline,3,8,WHFS8,60,,,,,
Wagon Hill Farm,2022,1/4/2023,Living Shoreline,3,9,WHFS9,30,,,,,
Wagon Hill Farm,2022,1/4/2023,Living Shoreline,3,10,WHFS10,75,,,,,
