Site,Season,Date,Type,Transect,Plot,Salinity,Redox,pH,Sulfide,Blank,Original Dataset
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,Low,10,,143,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,High,1,,267,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,High,2,,366,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,High,3,,354,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,High,4,,176,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,High,5,,230,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,High,6,,189,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,High,7,,436,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,High,8,,303,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,High,9,,270,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,High,10,,223,,,Dry Soil Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,Low,1,25,-338.6,6.5,3.5594,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,Low,2,29,-320.6,6.7,2.5732,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,Low,3,28,-254,5.87,0.4006,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,Low,4,28,-143.6,6.53,0.0244,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,Low,5,29,-291.4,6.62,3.4225,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,Low,6,30,-319.5,6.75,3.6803,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,Low,7,30,-372.3,6.51,3.69,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,Low,8,30,-279.8,6.73,2.7561,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,Low,9,29,-323.1,7.24,3.6065,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,Low,10,29,-226.1,6.68,0.1225,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,High,1,25,36.4,6.1,0.0906,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,High,2,25,-74.1,6.16,0.6756,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,High,3,26,-312.8,6.76,1.7146,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,High,4,25,-276.2,6.86,0.4576,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,High,5,20,-330,6.82,3.6199,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,High,6,30,-295.6,6.47,3.2445,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,High,7,27,-237,6.88,0.1782,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,High,8,34,-274.4,6.56,3.4804,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,High,9,30,-121.7,6.06,0.2188,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,Reference,High,10,,,,,No Sample,
Wagon Hill Farm,2019,,No Action Control,Low,1,25,-46,6.93,0.0513,Porewater Redox,No Action Control High substituted for values in fake low marsh
Wagon Hill Farm,2019,,No Action Control,Low,2,20,-98.6,6.8,0.0467,Porewater Redox,No Action Control High substituted for values in fake low marsh
Wagon Hill Farm,2019,,No Action Control,Low,3,16,-242.9,6.77,1.4631,Porewater Redox,No Action Control High substituted for values in fake low marsh
Wagon Hill Farm,2019,,No Action Control,Low,4,24,-270.6,7.39,0.5485,Porewater Redox,No Action Control High substituted for values in fake low marsh
Wagon Hill Farm,2019,,No Action Control,Low,5,,,,,No Sample,No Action Control High substituted for values in fake low marsh
Wagon Hill Farm,2019,,No Action Control,Low,6,,,,,No Sample,No Action Control High substituted for values in fake low marsh
Wagon Hill Farm,2019,,No Action Control,Low,7,,,,,No Sample,No Action Control High substituted for values in fake low marsh
Wagon Hill Farm,2019,,No Action Control,Low,8,,,,,No Sample,No Action Control High substituted for values in fake low marsh
Wagon Hill Farm,2019,,No Action Control,Low,9,20,-22.5,6.62,0.0882,Porewater Redox,No Action Control High substituted for values in fake low marsh
Wagon Hill Farm,2019,,No Action Control,Low,10,,,,,No Sample,No Action Control High substituted for values in fake low marsh
Wagon Hill Farm,2019,8/5/2019,No Action Control,High,1,25,-46,6.93,0.0513,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,No Action Control,High,2,20,-98.6,6.8,0.0467,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,No Action Control,High,3,16,-242.9,6.77,1.4631,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,No Action Control,High,4,24,-270.6,7.39,0.5485,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,No Action Control,High,5,,,,,No Sample,
Wagon Hill Farm,2019,8/5/2019,No Action Control,High,6,,,,,No Sample,
Wagon Hill Farm,2019,8/5/2019,No Action Control,High,7,,,,,No Sample,
Wagon Hill Farm,2019,8/5/2019,No Action Control,High,8,,,,,No Sample,
Wagon Hill Farm,2019,8/5/2019,No Action Control,High,9,20,-22.5,6.62,0.0882,Porewater Redox,
Wagon Hill Farm,2019,8/5/2019,No Action Control,High,10,,,,,No Sample,
Cutts Cove,2020,8/24/2020,Living Shoreline,Low,1,,26,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,Low,2,,382,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,Low,3,,354,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,Low,4,,714,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,Low,5,,474,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,Low,6,,144,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,Low,7,,69,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,Low,8,,756,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,Low,9,,454,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,Low,10,,354,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,High,1,,193.4,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,High,2,,-42.9,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,High,3,,650,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,High,4,,456,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,High,5,,694,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,High,6,,369,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,High,7,,192,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,High,8,,-28,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,High,9,,514,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Living Shoreline,High,10,,260,,,Dry Soil Redox,
Cutts Cove,2020,8/24/2020,Reference,Low,1,22,-440.3,6.56,1.3463,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,Low,2,30,-108,6.7,0.541,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,Low,3,23,-364.8,6.59,4.4823,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,Low,4,27,-356.7,6.67,3.647,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,Low,5,35,-118.3,6.22,0.7696,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,Low,6,24,-356.8,7.12,3.1055,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,Low,7,27,-358.1,7.33,4.781,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,Low,8,23,-332.2,6.77,4.207,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,Low,9,32,-315.4,6.49,2.4487,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,Low,10,29,-353.7,7.15,4.1797,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,High,1,,,,,No Sample,
Cutts Cove,2020,8/24/2020,Reference,High,2,13,-120.1,6.57,0.4351,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,High,3,12,-114.8,6.66,0.0356,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,High,4,26,-238.5,6.66,0.2428,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,High,5,21,-247.2,6.66,3.8577,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,High,6,12,-121.8,6.53,4.9273,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,High,7,38,-215.8,6.5,0.2507,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,High,8,29,-128.8,6.06,4.9273,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,High,9,33,-289.8,6.69,0.6998,Porewater Redox,
Cutts Cove,2020,8/24/2020,Reference,High,10,34,-137.4,7.1,0.3583,Porewater Redox,
Cutts Cove,2020,8/25/2020,No Action Control,Low,1,,,,,No Sample,
Cutts Cove,2020,8/25/2020,No Action Control,Low,2,32,-1.4,7.22,0.397,Porewater Redox,
Cutts Cove,2020,8/25/2020,No Action Control,Low,3,32,-9.4,7.38,0.883,Porewater Redox,
Cutts Cove,2020,8/25/2020,No Action Control,Low,4,,,,,No Sample,
Cutts Cove,2020,8/25/2020,No Action Control,Low,5,33,-364.9,7.51,2.2919,Porewater Redox,
Cutts Cove,2020,8/25/2020,No Action Control,Low,6,31,-58.4,7.6,4.6415,Porewater Redox,
Cutts Cove,2020,8/25/2020,No Action Control,Low,7,,,,,No Sample,
Cutts Cove,2020,8/25/2020,No Action Control,Low,8,,,,,No Sample,
Cutts Cove,2020,8/25/2020,No Action Control,Low,9,,,,,No Sample,
Cutts Cove,2020,8/25/2020,No Action Control,Low,10,,,,,No Sample,
Cutts Cove,2020,,No Action Control,High,1,,,,,No Sample,No Action Control low substituted for values in fake high marsh
Cutts Cove,2020,,No Action Control,High,2,32,-1.4,7.22,0.397,Porewater Redox,No Action Control low substituted for values in fake high marsh
Cutts Cove,2020,,No Action Control,High,3,32,-9.4,7.38,0.883,Porewater Redox,No Action Control low substituted for values in fake high marsh
Cutts Cove,2020,,No Action Control,High,4,,,,,No Sample,No Action Control low substituted for values in fake high marsh
Cutts Cove,2020,,No Action Control,High,5,33,-364.9,7.51,2.2919,Porewater Redox,No Action Control low substituted for values in fake high marsh
Cutts Cove,2020,,No Action Control,High,6,31,-58.4,7.6,4.6415,Porewater Redox,No Action Control low substituted for values in fake high marsh
Cutts Cove,2020,,No Action Control,High,7,,,,,No Sample,No Action Control low substituted for values in fake high marsh
Cutts Cove,2020,,No Action Control,High,8,,,,,No Sample,No Action Control low substituted for values in fake high marsh
Cutts Cove,2020,,No Action Control,High,9,,,,,No Sample,No Action Control low substituted for values in fake high marsh
Cutts Cove,2020,,No Action Control,High,10,,,,,No Sample,No Action Control low substituted for values in fake high marsh
North Mill Pond,2020,8/17/2020,Living Shoreline,Low,1,31,114.2,6.45,0.1994,Porewater Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,Low,2,32,127.5,6.77,0.0683,Porewater Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,Low,3,35,9,6.83,0.4897,Porewater Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,Low,4,33,-14.5,6.81,0.2675,Porewater Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,Low,5,30,-7,7.15,0.5018,Porewater Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,Low,6,32,-17.6,6.55,0.3889,Porewater Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,Low,7,30,-48.5,6.7,0.6705,Porewater Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,Low,8,38,-64.3,6.4,0.3345,Porewater Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,Low,9,37,31.6,6.46,0.8895,Porewater Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,Low,10,31,10,6.46,0.5092,Porewater Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,High,1,,-29,,,Dry Soil Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,High,2,,-29,,,Dry Soil Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,High,3,,221,,,Dry Soil Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,High,4,,342,,,Dry Soil Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,High,5,,382,,,Dry Soil Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,High,6,,,,,No Sample,
North Mill Pond,2020,8/17/2020,Living Shoreline,High,7,,,,,No Sample,
North Mill Pond,2020,8/17/2020,Living Shoreline,High,8,,-83,,,Dry Soil Redox,
North Mill Pond,2020,8/17/2020,Living Shoreline,High,9,,,,,No Sample,
North Mill Pond,2020,8/17/2020,Living Shoreline,High,10,,,,,Porewater Redox,"Note - this plot was the only plot to have pore water retried. Based on rules, the results were not considered in the RPI to not bias results based on one sample"
North Mill Pond,2020,8/18/2020,Reference,Low,1,35,-346.1,6.71,4.4314,Porewater Redox,
North Mill Pond,2020,8/18/2020,Reference,Low,2,35,-449.9,7.34,4.8406,Porewater Redox,
North Mill Pond,2020,8/18/2020,Reference,Low,3,33,-372.8,7.26,4.595,Porewater Redox,
North Mill Pond,2020,8/18/2020,Reference,Low,4,35,-391.4,7.19,4.8828,Porewater Redox,
North Mill Pond,2020,8/18/2020,Reference,Low,5,33,-356.5,6.93,4.509,Porewater Redox,
North Mill Pond,2020,8/18/2020,Reference,Low,6,35,-360,6.95,4.509,Porewater Redox,
North Mill Pond,2020,8/18/2020,Reference,Low,7,35,-356.4,6.91,3.8638,Porewater Redox,
North Mill Pond,2020,8/18/2020,Reference,Low,8,29,-395,7.4,4.9504,Porewater Redox,
North Mill Pond,2020,8/18/2020,Reference,Low,9,30,-380.7,6.83,4.5506,Porewater Redox,
North Mill Pond,2020,8/18/2020,Reference,Low,10,34,-381.4,6.61,4.781,Porewater Redox,
North Mill Pond,2020,8/18/2020,Reference,High,1,35,-9.6,6.75,0.2541,Porewater Redox,
North Mill Pond,2020,8/18/2020,Reference,High,2,39,-75.5,6.93,0.5033,Porewater Redox,
North Mill Pond,2020,8/18/2020,Reference,High,3,,-176,,,Dry Soil Redox,
North Mill Pond,2020,8/18/2020,Reference,High,4,,-6,,,Dry Soil Redox,
North Mill Pond,2020,8/18/2020,Reference,High,5,,,,,No Sample,
